Kode Soal,jawaban,skor,pertanyaan,rubrik
7,"- classification adalah metode yang secraa dilatih menggunakan label 
- clustering adalah metode penambahan melalui kemiripan data dan dilatih tanpa menggunakan label",0,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- classification → prediksi akurasi seluruh data yang positif
- precission → prediksi data yang mana yang positif 
- recall → menunjukkan
- F1-score → kumpulan dari precission dan recall",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"- menentukan nilai k awal (centroid)
- menentukan data mana yang cocok untuk dimasukkan
- evaluasi dari data",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,cara menentukan nilai k awal yaitu sakah satunya menggunakan elbow method jadi data akan melihat secara koordinat jika data centroid tersebut lebih dekat dengan siku sikunya maka akan mendapat hasil nilai k awal,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah cabang AI yang memungkinkan komputer bekerja melatih data tanpa harus diprogram lebih rinci,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised learning
- Unsupervised learning
- Semi-supervised learning
- Reincoforment learning",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah informasi, fakta, teks, gambar, atau angka yang masih mentah atau belum dilatih",10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang sudah dilatih menjadi kumpulan data yang siap pakai,10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing adalah membersihkan, mengosongkan dan menyiapkan data model sebelum dilatih",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah langkah akhir dari tahapan latih data model,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regression adalah algoritma yang menentukan nilai kotuno
Classification adalah algoritma unsupervised learning / data yang tidak memiliki label
Clustering adalah algoritma supervised learning / data yang memiliki label",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regression 
Classification → Random forest, SVM, KNN, Naive bayes, Decision Tree
Clustering → K-Means",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Mengelompokkan data kedalam label yang memiliki kemiripan,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,Machine learning adalah ai yang melatih data dikomputer tanpa dipaksa,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised learning
- Unsupervised learning",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah kumpulan sebuah huruf dan angka,0,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data yang sudah diolah / dilatih,10,Apa yang dimaksud dengan dataset?,
5,Proses mengelola sebuah data menjadi dataset agar bisa digunakan,0,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah langkah akhir dari tahapan melatih model,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Classification adalah data yang menggunakan label (supervised)
- Clustering adalah data yang tidak menggunakan label (unsupervised)
- Augmented dataset adalah",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Regression:
- Classification = random forest
- Clustering = K-Means",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,Machine learning adalah salah satu cabang dari artificial intelligence (AI),5,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis jenis machine learning, yaitu:
- Naive bayes
- K-Nearest Neightbor
- Linear regression
- Logistic Regression
- Decission Tree",0,Jelaskan jenis-jenis dari machine learning?,
3,Data merupakan sebuah kumpulan informasi yang berisikan fakta atau angka angka,10,Apa yang dimaksud dengan data?,
4,Dataset merupakan kumpulan data untuk melatih sebuah program. (kumpulan data yang digunakan untuk melatih machine learning),10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah sebuah tahapan untuk membersihkan dataset terlebih dahulu sebelum dilatih menggunakan machine learning,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah dataset yang mengalami kelebihan data (datanya dilatih berulang ulang kali). contoh metode yang digunakan yaitu preprocessing data,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regression adalah algoritma yang mengelompokkan data angka yang bersifat kontinu
- Classification adalah algoritma yang mengelompokkan data berdasarkan jenisnya. (supervised learning)
- Clustering adalah algoritma yang mengelompokkan data dengan cara melatih sendiri (unsupervised learning)",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- metode regression: linear regression
- metode classification: KNN (K-Nearest Neightbor)
- metode clustering: K-Means clustering",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"Cara kerja metode K Means clustering yaitu mengelompokkan data berdasarkan data data yang mirip dan saling berdekatan, ia mencari cabang yang terdekat juga",0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,menentukan nilai k awal dalam metode k means clustering dengan cara melakukan preprocessing data terlebih dahulu,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,"Machine learning adalah ilmu yang mempelajari tentang bagaimana mesin belajar, contohnya AI yaitu bagaimana mesin berlatih dan belajar",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis2 dari machine learning, classification, clustering, regression",0,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah kumpulan informasi yang dikumpulkan menjadi satu,5,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan informasi yang sudah dikumpulkan dan digunakan untuk melatih mesin,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses untuk mengubah data mentah menjadi data yang siap digunakan untuk di training dan digunakan,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah proses mengelompokkan data menjadi beberapa bagian adapun metode yang dilakukan disini bisa menggunakan metode SVM x Random Forest,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
8,"Metode evaluasi yang sesuai:
Regression - SMOTE 
Clustering - CNN, K-Means
Clasification - SVM, Random forest",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Cara kerja K-Means clustering adalah dengan cara membagi data ke dalam 2 kelompok yaitu menentukan k awalnya bagaimana dan bagaimana data meansnya,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Untuk menentukan nilai k awal dalam k-means clustering adalah dengan mengelompokkan dulu datanya dan di ubah ke dalam binary agar mudah di baca,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,machine learning adalah sebuah pecahan dari artificial intelegence yang belajar secara data terstruktur dan berlabel,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised learning : adalah metode yg belajar dari sebuah data yg berlabel
Unsupervised learrning : adalah model yg belajar dari data tidak berlabel
Semi-vised learning : adalah model yg belajar dari data yg berlabel dan tidak berlabel
Reiforced learning : adalah model yang belajar dari data yang tidak berlabel dengan metode clustering dengan data yg memiliki pola yg sama unuk clustering",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sebuah kumpulan informasi mentah yg berupa teks, audio, video, foto, angka",0,Apa yang dimaksud dengan data?,
4,Dataset adalah sebuah kumpulan data yang berlabel dan siap digunakan untuk melatih sebuah model,10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing adalah sebuah proses membersihkan data yg masih tercampur seperti missing value, teks dalam dataset angka",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah sebuah proses memperbanyak dataset yg minoritas beberapa cara augmented :
a. melakukan flip vertikal/horizontal
b. merubah sudut gambar / membalikkan gambar
c.",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Clasification : adalah proses klasifikasi dataset berlabel agar sesuai dengan yg ditujukan
Clustering : adalah sebuah proses memisahkan dataset yg tidak berlabel dengan pola yang sama dan identik
Regresi : adalah sebuah proses yg dilakukan dengan metode trial and error",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode evaluasi.
a. regresi : MAE, RSE, R²
b. clasification : prediction, f1-score, accuracy
c. clustering :",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"K-means clustering :
a. mencari sebuah nilai tengah 
b.",0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,"menggunakan salah satu metode elbow, yang mengambil nilai mendekati siku",10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah sistem yang digunakan untuk mengolah data dan merupakan cabang AI yang bikin komputer bisa belajar pola dari data,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- supervised learning adalah data input x + label y
- unsupervised learning, cuma ada input x dan tidak ada label y",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sekumpulan data yang tersusun rapi untuk melatih model, bentuk nya bisa berupa angka, huruff, gambar, dan video",0,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang di susun rapi untuk melatih model machine learning,5,Apa yang dimaksud dengan dataset?,
5,Proses memanipulasi data yang diambil dari dataset yang ada untuk membentuk model mempelajarinya,0,Apa yang dimaksud dengan Preprocessing Dataset?,
1,"Machine learning adalah cabang dari AI yang memungkinkan komputer belajar dari data untuk mengenali pola, membuat prediksi, tanpa diprogram secara eksplisit",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis-jenis machine learning
- Supervised learning → belajar dari data berlabel
- Unsupervised learning → belajar dari data tanpa label
- Semi supervised learning → belajar gabungan data berlabel dan tidak berlabel
- Inforcement learning → belajar dari reward dan punishment.",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah kumpulan informasi mentah yang dapat diolah menjadi informasi fakta,10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang terstruktur yang disusun dalam bentuk label untuk melatih dan menguji model machine learning,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses membersihkan dan menyiapkan data agar siap digunakan oleh model.,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah penambahan variabel data dari data asli agar jumlah data bertambah dan model menjadi lebih baik. Contoh : rotasi, flip, zoom, crop, perubahan brightness, dan shief",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma regression ini memprediksi nilai continue (misalnya harga properti)
Algoritma classification inin mengelompokkan data ke dalam kelas tertentu
Algoritma clustering aadlah teknik unsupervised learning yang digunakan untuk mengelompokkan data berdasarkan kemiripan tanpa label",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regression : MAE, MSE, R² 
Classification : Accuracy, Precision, F1-Score, Recall
Clustering : Silhoute score, Davies Bouldin Index",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"Cara kerja metode K Means clustering adalah menentukan jumlah K, memilih centroid awal, menghitung jarak setiap data ke centroid, membentuk cluster, menghitung centroid baru, mengulangi proses, dan hasil akhir",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,"Nilai K dapat ditentukan menggunakan allow method, silhoutte, dan berdasarkan pengetahuan domain",10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah suatu teknik yang memungkinkan sebuah mesin komputer mampu mempelajari lalu mengenal objek yang ingin diajari,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis-jenis machine learning ada 2, yaitu Supervised learning dan Unsupervised learning. Supervised artinya model belajar secara dalam pengawasan / berlabel, sedangkan Unsupervised learning model tidak dalam pengawasan / berlabel.",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sebuah informasi yang memiliki arti tertentu sesuai pada konteksnya,0,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan informasi terstruktur yang berguna untuk dilakukannya sebuah objek penelitian untuk menghasilkan output tertentu,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses manipulasi data yang diambil dari dataset yang ada untuk membantu model mempelajarinta. Proses ini berlangsung sebelu training,0,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah proses memanipulasi data yang ada dari dataset dan tidak merubah keaslian daru dataset tersebut. Contoh : Flip, rotation, crop",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma Regression, merupakan algoritma
- Algoritma classification, merupakan algoritma Supervised Learning, sehingga belajar dari label yang ada. Output yang diinginkan , model memberikan klasifikasi data tertentu
- Algoritma clustering, merupakan teknik Unsupervised Learning, model belajar tanpa label",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
9,Mencari nilai k,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,"Machine learning adalah cabang dari kecerdasan buatan yang digunakan untuk membuat pola, dan prediksi tanpa diprogram",0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"-Supervised learning data berlabel
- Unsupervised learning data yang tidak berlabel
- Semi supervised learning
- Reinforcement""",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah fakta atau informasi mentah yang dikumpulkan dann belum diolah berdasarkan fakta,10,Apa yang dimaksud dengan data?,
4,Dataset adalah data yang dilatih menggunakan machine learning dan deep learning yang menghasilkan ribuan data atau lebih,0,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah data asli yang diolah atau dilatih agar sama semua, karena sebagian data mungkin tidak sama ukuran dan lain-lain",5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah dataset yang diperbesar atau diperkaya dan diperbarui,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Clustering adalah mengelompokkan data
- classification adalah suatu data yang dikelompokkan dan dikategorikan
- Algoritma regression adalah algoritma yang digunakan untuk teknik numerik",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode evaluasi yang sesuai dengan algoritma
- Regression
- Classification
- Clustering",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,cara kerja metode k means clustering adalah,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,cara menentukan nilai k awal dalam metode k means clustering,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah cabang dari AI yang memungkinkan komputer belajar dari data untuk mengenali pola dan membuat Prediksi atau keputusan tanpa diprogram secara khusus,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis machine Learning
- Supervised learning = belajar menggunakan data yg memiliki label untuk melakukan klasifikasi atau prediksi
- Unsupervised Learning = belajar dari data tanpa label untuk menemukan pola atau mengelompokan data
- Reinforcement learning = model belajar melalui sistem reward dan punishment berdasarkan tindakan yg dilakukan",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sekumpulan File seperti gambar, video",0,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data mentah yang bisa digunakan untuk melatih model machine learning,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses menyiapkan dan membersihkan data agar berkualitas dan siap digunakan dalam pelatihan model machine learning,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah proses memperbanyak dataset atau memodifikasi agar data lebih berfariasi
metode augmentasi adalah : Flip, mirror, brigthness",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma Clustering adalah mengelompokkan data yg sama dalam satu cluster
Algoritma classifikation adalah teknik untuk memprediksi kategori atau class dari suatu data, Algoritma itu masuk ke jenis Supervised learning, output yg dihasilkan berupa label Algoritma Regression teknik memprediksi nilai numerik atau continu, outputnya berupa angka",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode Evaluasi Algoritma classtering ada silhoutte score, Davies Bounding index
Metode Evaluasi Regression (Matriks) ada MAE, MSE, R² Score
untuk clasification ada accuracy = persentase prediksi yang benar, Precision = dari semua yang diprediksi positif, berapa yg benar-benar positif, Recall = dari semua data positif berapa yg berhasil ditemukan model",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Metode K-Means clustering adalah metode yg mengelompokkan setiap data sesuai kategori,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,Machine Learning adalah cabang AI yang memungkinkan komputer belajar dari data untuk melakukan prediksi atau mengambil keputusan,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis-jenis Machine learning
-Sum
-Random Forest
-KNN",0,Jelaskan jenis-jenis dari machine learning?,
3,"data adalah kumpulan angka, Teks, Gambar atau nilai mentah yang belum diolah, dan bisa dijadikan sebuah informasi",0,Apa yang dimaksud dengan data?,
4,Dataset adalah data yang terstruktur dan saling berkaitan biasanya disusun dalam bentuk tabel/baris kolom digunakan untuk melatih dan menguji model,5,Apa yang dimaksud dengan dataset?,
5,Preprocessing adalah tahap mengolah data mentah agar bersih dan siap dipakai untuk melatih model ML,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented Dataset adalah Dataset yang diperbanyak secara buatan dari data asli dengan variasi tertentu untuk menambah jumlah keragaman data latih SMOTE contohnya,5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regresi→Memprediksi nilai kontinue/numerik
Classification→yaitu mengelompokkan data ke dalam kategori atau kelas yang telah ditentukan.
Clustering→ yaitu mengelompokkan data ke dalam grup-grup berdasarkan kemiripan atau pola serupa",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode Evaluasi klasifikasi
-Confusion Matix
-Acuracy
-F1-score
-Recall
-Precision
Metode Evaluasi Clustering
-Internal Evaluation
-Exrernal Evaluation
Metode Evaluasi Regresi
-MAE
-MSE
-RMSE
-R²",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"-Mendapatkan titik awal
-Mencari titik terdekat dari titik awal
-Menentukan dan mengelompokkan titik terdekat",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Evaluasi K bisa ditentukan menggunakan allow methid,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,machine learning adalah cabang AI yang dimana komputer belajar dari data,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- supervised learning → yaitu proses belajar belajar menggunakan data
memiliki label untuk melakukan prediksi
- supervised learning → yaitu proses belajar belajar menggunakan data
memiliki label untuk melakukan prediksi
- unsupervised learning →yaitu belajar dari data tanpa label untuk menemukan
pola atau mengelompokan
- Reicoment learning → yaitu model belajar melalui sistem reward dan punisment berdasarkan tindakan",10,Jelaskan jenis-jenis dari machine learning?,
3,data adalah sekumpulan data mentah yang belum diolah yang biasanya dilakukan untuk melakukan sebuah penelitian,10,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data yang siap diolah untuk keperluan penelitian,10,Apa yang dimaksud dengan dataset?,
5,preprocesing dataset adalah proses pembersihan dataset sebelum melakukan training tujuanya adalah agar dataset tidak duplikat,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmanted dataset adalah teknik memamnipulasi dataset/memperbanyak dataset untuk keperluan sebuah peneltian, metodenya seperti smotee, flip, brighness",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- algoritma regresison adalah pola belajar yang dimana ini untuk mengumpulkan data angka/numerik
- algoritma clustering adalah pengelompokan data menjadi kelompok/ claster
- algoritma clasification adalah teknik untuk memprediksi kategori class dari suatu data",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"metode evaluasi yang sesuai untuk clustering adalah sihoute, score, davies pounding index
metode evaluasi regresi = MAE, MSE, R' score",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,Machine learning : Sebuah proses melatih komputer untuk dapat mengenali serta identifikasi sebuah objek,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis : 1. Supervised : Sebuah komputer belajar dari data yang sudah di labeli
2. unsupervised : sebuah komputer belajar dari data yang belum di labeli
3. reinforcement : sebuah komputer belajar berdasarkan punishment dan reward",10,Jelaskan jenis-jenis dari machine learning?,
3,Data ialah ingormasi dari sebuah objek yang berisikan karakteristik tertentu untuk dijadikan bahan belajar,0,Apa yang dimaksud dengan data?,
4,"dataset ialah sebuah set / bundle yang berisikan banyak dataset, saling keterkaitan, serta umumnya terdiri dari baris & kolom.",0,Apa yang dimaksud dengan dataset?,
5,"preprocessing Dataset ialah sebuah tahpan sebelum dataset digunakan untuk training seperti cleaning, Transformation, Intergration",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset ialaha proses memperbanyak dataset dengan cara duplikasi dengan sedikit perubahan pada data duplikat, seperti, crop, rotate ,mirror pada data gambar, sedangkan untuk teks bisa dengan synoim ataupun parafrasa",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"clustering : merupakan algoritma yang bertujuan menemukan korelasi antar dataset yang saling berdekatan
classification : merupakan algoritma yang bertujuan untuk menggolongkan sebeuah data masuk kedalam class mana
Regression : merupakan algoritma yang bertujuan untuk mengekstrak karakteristik dari sebuah data yang bersifat kontinu",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regresi : ROE, R² Score, accuracy
Classification : correlation",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"K- Means clustering : Dari sebuah titik tunggal sebagai pusat, lalu titik lainnya yang terdekat dianggap menjadi satu cluster dengan titik pusat.",0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,K awal ditentukan dengan cara,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,machine learning adalah cabang AI yang dimana komputer belajar dari data dan menghasilkan sebuah prediksi atau keputusan,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"jenis-jenis machine learning
- Random forest
-SVM
- CNN",0,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sebuah informasi mentah berupa angka, teks, atau gambar yang belum diolah dan tidak memiliki arti",5,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang terstruktur dan saling terkait dan digunakan untk melatih atau testing model Ml,10,Apa yang dimaksud dengan dataset?,
5,preprocessing Dataset adalah proses membersihkan dan mengganti data mentah menjadi format yang siap dipakai contoh sperti data gambar yang diubah menjadi data numerik sehingga komputer lebih mudah untuk dikenali komputer,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah proses memperbanyak jumlah data dari hasil klasifikasi dari data asli contoh metodenya adalah smotee,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"regression adalah algoritmat yang digunakan untuk menghasilkan sebuah nilai dari sebuah data
classification adalah algoritma yang digunakan untuk mengklasifikasi sebuah kelas atau kategori/ classificasi digunakan untuk menentukan sebuah label dari data baru berdasarka kategori atau label yang sudah ada
clustering adalah proses pengelompokan sebuah data yang memiliki kemiripan yang sangat mirip kedalam sebuah kelompok yang di sebut cluster",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode evaluasi yang sesuai dengan algoritma regression, classfication, dan clustering :
- recall
- F1- Score
- Classification Report
- Confusion Matrix
- MSE
- MAE",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"cara kerja K-MEANS clustering
- Menciptakan titik awal
- mencari atau memprediksi titik terdekat dengan titik awal
- mengumpulkan atau mengelompokkan titik terdekat dengantitik awal sehingga menjadi sebuah cluster",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,"cara menentukan nilai k awal :
1. menyebarkan beberapa titik k awal pada sebuah kelompok atau lingkaran
2. menetpakan titik k awal pada titik yang tersebar atau dengan titik yang paling banyak atau paling dekat dengan titik -titik yang tersebar",0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
